ID,Palabras_Clave,Emocion,Intensidad,Engagement,Engagement_Level,Tweet Creation Date,Prob_Emocion
258,"nuevo, podcast, regresan, tertulias, cada",Neutral,Alta,1197,Bajo,2022-09-13 14:25:47,0.766
259,"miércoles, tenido, problemas, técnicos, grabando",Alegría,Alta,4977,Medio,2022-09-14 22:58:59,0.797
260,"jueves, tarde, hora, española, especial",Neutral,Alta,1023,Bajo,2022-09-15 03:32:53,0.799
261,"yendo, blanco, gana, champions, menos",Enfado,Media,22987,Alto,2022-09-15 12:26:57,0.586
262,"nuevo, podcast, directo, pocos, minutos",Neutral,Alta,926,Bajo,2022-09-15 14:39:41,0.904
263,"amores, noviembre, publico, nuevo, libro",Neutral,Alta,7371,Medio,2022-09-16 12:06:54,0.995
264,"haya, polémica, jugador, fútbol, baile",Enfado,Alta,17373,Alto,2022-09-17 11:16:37,0.872
265,"igual, elfos, negros, tolkien, remueve",Enfado,Alta,15352,Alto,2022-09-17 12:37:16,0.858
266,"polémica, alrededor, tenía, muchas, ganas",Enfado,Media,3560,Medio,2022-09-17 12:57:42,0.73
267,"venga, domingo, vídeo, rincón, giorgio",Neutral,Alta,10870,Alto,2022-09-17 20:23:35,0.953
268,"gusta, mucho, idea, protagonistas, sean",Neutral,Alta,44257,Alto,2022-09-18 14:39:44,0.985
269,"nuevo, vídeo, regreso, rincón, giorgio",Neutral,Alta,2049,Bajo,2022-09-18 15:15:55,0.979
270,"nuevo, podcast, tertulia, especial, rosa",Alegría,Alta,1479,Bajo,2022-09-20 14:35:37,0.959
271,"nuevo, podcast, anita, mateu, sorpresas",Alegría,Alta,1912,Bajo,2022-09-22 14:08:02,0.964
272,"amigos, amigas, estaré, directo, canal",Neutral,Alta,821,Bajo,2022-09-22 19:20:04,0.949
273,"acabo, darme, cuenta, residente, pueblo",Sorpresa,Alta,9870,Medio,2022-09-23 13:10:55,0.91
274,"nuevo, podcast, tarde, visitan, cracks",Alegría,Alta,2463,Bajo,2022-09-27 12:54:55,0.977
275,"padres, normales, mundo, mandan, saludos",Neutral,Alta,5994,Medio,2022-09-28 18:22:01,0.995
276,"nuevo, podcast, ayax, prok, hablan",Alegría,Alta,1245,Bajo,2022-09-29 14:45:07,0.996
277,"muchos, está, saliendo, mensaje, error",Neutral,Alta,2553,Bajo,2022-09-30 13:53:28,0.885
278,"muerto, admirado, jesús, quintero, mejores",Tristeza,Alta,5223,Medio,2022-10-03 20:39:13,0.837
279,"nuevo, podcast, tertulia, genios, darma",Neutral,Media,1287,Bajo,2022-10-04 14:32:30,0.593
280,"dejaros, salseos, mejor, apple, tendrá",Enfado,Alta,9289,Medio,2022-10-04 15:31:41,0.933
281,"pues, quedado, buena, noche, europa",Neutral,Alta,9629,Medio,2022-10-04 20:58:21,0.876
282,"sido, robo, jugado, culo, partido",Enfado,Media,13310,Alto,2022-10-04 21:31:27,0.537
283,"nuevo, podcast, darma, kira, sensei",Alegría,Alta,1069,Bajo,2022-10-06 15:01:18,0.966
284,"like, queréis, vídeo, canal, historia",Neutral,Alta,66281,Viral,2022-10-09 13:08:59,0.983
285,"nuevo, podcast, espero, respeten, nueva",Neutral,Alta,1053,Bajo,2022-10-11 14:17:56,0.876
286,"puto, culebrón, mbappé, vuelva, abrirse",Sorpresa,Media,9253,Medio,2022-10-11 17:42:07,0.614
287,"canal, locuras, grandes, visto, vida",Alegría,Media,4130,Medio,2022-10-11 23:19:01,0.57
288,"favor, pegue, partido, potra, madrid",Neutral,Media,14480,Alto,2022-10-12 20:43:13,0.691
289,"podcast, creo, sinceramente, mejores, historia",Alegría,Media,14541,Alto,2022-10-13 14:24:19,0.713
290,"nuevo, podcast, david, jiménez, exdirector",Alegría,Alta,2885,Medio,2022-10-13 14:37:56,0.98
291,"somos, malos",Neutral,Media,23004,Alto,2022-10-16 15:32:50,0.53
292,"eric, garcía, sergi, roberto, pueden",Neutral,Alta,21646,Alto,2022-10-16 16:33:27,0.961
293,"nuevo, podcast, tertulia, cada, semana",Neutral,Media,910,Bajo,2022-10-18 15:11:16,0.748
294,"pues, final, tendré, hacer, serie",Alegría,Alta,8626,Medio,2022-10-21 13:23:23,0.797
295,"nuevo, vídeo, habíais, pedido, locos",Alegría,Media,3209,Medio,2022-10-21 14:04:08,0.556
296,"podría, aparecer, champions",Neutral,Alta,22638,Alto,2022-10-23 19:24:59,0.99
297,"internet, sitio, peligroso, mucho, odio",Enfado,Baja,19243,Alto,2022-10-24 14:23:36,0.411
298,"nuevo, podcast, tertulia, cada, semana",Alegría,Media,796,Bajo,2022-10-25 14:39:29,0.502
299,"miércoles, empieza, semana, halloween, rincón",Alegría,Alta,6265,Medio,2022-10-25 21:44:51,0.969
300,"comienza, semana, halloween, empezamos, fuertes",Sorpresa,Baja,1667,Bajo,2022-10-26 14:55:25,0.493
301,"genio, ayuda, montar, nuevo, ordenador",Alegría,Alta,2982,Medio,2022-10-26 17:27:49,0.996
302,"champions, like",Neutral,Alta,3924,Medio,2022-10-26 20:00:20,0.973
303,"esland, mexico, tengo, tema, debate",Neutral,Alta,47441,Alto,2022-10-27 12:54:26,0.992
304,"noviembre, estar, barcelona, fnac, triangle",Alegría,Alta,1651,Bajo,2022-10-27 13:22:24,0.877
305,"semana, halloween, seguimos, vídeo, diario",Neutral,Alta,1402,Bajo,2022-10-27 14:13:49,0.827
306,"nuevo, podcast, crack, juan, soto",Alegría,Alta,1081,Bajo,2022-10-27 15:52:38,0.994
307,"puedo, esperar, anuncio, sábado, vuelve",Alegría,Alta,7963,Medio,2022-10-27 18:59:22,0.99
308,"final, esland, mexico, provocado, especie",Enfado,Media,62974,Viral,2022-10-28 14:03:56,0.603
309,"nuevo, vídeo, semana, halloween, terrifier",Neutral,Alta,1505,Bajo,2022-10-28 14:37:27,0.867
310,"like, está, gustando, mucho, semana",Alegría,Alta,10417,Alto,2022-10-28 19:17:45,0.871
311,"hora, directo, jugando, resident, evil",Alegría,Alta,1378,Bajo,2022-10-29 19:55:10,0.986
312,"expresé, horrible, quizás, preparado, intelectualmente",Tristeza,Baja,16676,Alto,2022-10-30 15:03:58,0.489
313,"jake, paul, ganó, anderson, silva",Neutral,Media,5543,Medio,2022-10-30 15:35:15,0.52
314,"nuevo, vídeo, semana, halloween, toca",Neutral,Media,1042,Bajo,2022-10-30 15:46:24,0.622
315,"gana, liga, copa, madrid, champions",Neutral,Alta,849,Bajo,2022-10-30 16:11:05,0.902
316,"último, vídeo, semana, halloween, termina",Neutral,Media,1324,Bajo,2022-10-31 15:09:43,0.506
317,"podcast, especial, halloween, recopilación, mejores",Alegría,Alta,962,Bajo,2022-10-31 18:48:38,0.896
318,"semana, halloween, canal, sido, mayor",Alegría,Alta,7960,Medio,2022-10-31 19:53:36,0.995
319,"nuevo, podcast, eduardo, sáenz, cabezón",Alegría,Alta,1310,Bajo,2022-11-03 16:00:15,0.992
320,"podéis, encontrar, librerías, nuevo, libro",Alegría,Alta,5380,Medio,2022-11-03 16:55:29,0.949
321,"mejores, defensas, historia, club, leyenda",Alegría,Alta,9202,Medio,2022-11-03 19:13:28,0.996
322,"metido, algo",Sorpresa,Media,5352,Medio,2022-11-05 22:26:19,0.689
323,"nuevo, podcast, tertulia, cada, semana",Alegría,Media,767,Bajo,2022-11-08 15:27:20,0.646
324,"siempre, apunto, joder, francia, ibaillanos",Neutral,Alta,38971,Alto,2022-11-08 20:37:21,0.89
325,"nuevo, vídeo, zazza, italiano, visita",Neutral,Alta,1928,Bajo,2022-11-10 15:17:47,0.878
326,"nuevo, podcast, mundomaldini, visita, especial",Neutral,Alta,1987,Bajo,2022-11-15 15:51:29,0.979
327,"putin, estate, tranquilo, anda",Neutral,Alta,16847,Alto,2022-11-16 03:16:29,0.785
328,"salir, juego, será, simulador, jesucristo",Neutral,Alta,17101,Alto,2022-11-16 20:46:17,0.975
329,"nuevo, podcast, oswald, aulestia, falsificadores",Alegría,Media,1500,Bajo,2022-11-17 15:12:07,0.703
330,"nuevo, vídeo, hombre, estuvo, días",Neutral,Baja,1744,Bajo,2022-11-20 16:00:59,0.323
331,"sido, arabia, saudí, desde, pequeño",Neutral,Alta,27104,Alto,2022-11-22 13:41:53,0.936
332,"mundial, loco",Neutral,Media,8656,Medio,2022-11-22 14:23:02,0.609
333,"nuevo, podcast, tertulia, cada, semana",Alegría,Media,716,Bajo,2022-11-22 15:38:42,0.688
334,"amores, madrileños, lunes, estaré, querida",Neutral,Alta,930,Bajo,2022-11-22 17:02:29,0.891
335,"rápido, contestad, pensar, quién, gana",Neutral,Media,1155,Bajo,2022-11-23 13:41:02,0.723
336,"luis, padrique, nuestro, dios, subido",Neutral,Alta,28110,Alto,2022-11-23 17:53:39,0.968
337,"nuevo, podcast, antonio, fernandes, hacker",Alegría,Alta,941,Bajo,2022-11-24 15:46:00,0.964
338,"youtuber, streamer, promedio, levantarse, like",Neutral,Alta,13545,Alto,2022-11-27 13:43:47,0.992
339,"quién, gana, rápido",Neutral,Alta,994,Bajo,2022-11-27 14:38:55,0.937
340,"luis, padrique, confío",Neutral,Media,4296,Medio,2022-11-27 19:42:25,0.641
341,"fuera, coñas, antes, morir, necesito",Neutral,Alta,49252,Alto,2022-11-27 19:57:27,0.881
342,"haber, tertulia, semana, estoy, viaje",Alegría,Alta,4439,Medio,2022-11-29 14:42:20,0.903
343,"muchas, gracias",Alegría,Alta,14006,Alto,2022-11-30 20:11:39,0.989
344,"tiene, eliminar, alguien, sean, tíos",Neutral,Alta,27567,Alto,2022-12-01 20:10:26,0.886
345,"tiene, historias, surrealistas, interesantes, injustas",Tristeza,Alta,11024,Alto,2022-12-02 13:50:44,0.938
346,"nuevo, podcast, coronel, pedro, baños",Neutral,Alta,2357,Bajo,2022-12-02 15:19:29,0.98
347,"nuevo, podcast, tertulia, cada, semana",Alegría,Alta,1048,Bajo,2022-12-06 15:07:48,0.956
348,"españa, dado, brote, barcelonitis, aguda",Neutral,Alta,58825,Viral,2022-12-06 17:51:29,0.92
349,"nuevo, podcast, juan, ramón, rallo",Neutral,Media,1799,Bajo,2022-12-08 15:13:47,0.524
350,"igual, pase, elden, ring, juego",Neutral,Alta,20902,Alto,2022-12-09 03:40:10,0.969
351,"pues, final, ganado, goty, bill",Neutral,Alta,13562,Alto,2022-12-09 03:59:45,0.849
352,klinton,Neutral,Alta,8915,Medio,2022-12-09 04:03:39,0.827
353,"nuevo, podcast, viene, genio, humor",Alegría,Alta,928,Bajo,2022-12-16 15:16:23,0.991
354,"caen, argentinos, franceses, tienen, caer",Enfado,Alta,75734,Viral,2022-12-18 14:32:55,0.906
355,"madre, argentina, meter, saco",Sorpresa,Media,12866,Alto,2022-12-18 15:41:24,0.503
356,"vale, gafado, argentinos",Neutral,Media,10317,Alto,2022-12-18 16:44:39,0.628
357,"medio, mundo",Neutral,Alta,11579,Alto,2022-12-18 17:37:04,0.788
358,"gane, quien, vaya, final, espectacular",Alegría,Alta,9816,Medio,2022-12-18 17:48:54,0.995
359,"messi, tiene, mundial, podemos, decir",Alegría,Alta,200061,Viral,2022-12-18 17:54:56,0.884
360,"penséis, habéis, tomado, malas, decisiones",Neutral,Alta,26490,Alto,2022-12-18 21:55:02,0.872
361,"nuevo, podcast, última, tertulia, antes",Alegría,Media,895,Bajo,2022-12-20 15:24:08,0.643
362,"pues, final, podido, nominado, vamos",Neutral,Alta,34359,Alto,2022-12-20 18:04:49,0.901
363,"amigo, podcast, horas, videojuegos, amor",Alegría,Alta,1312,Bajo,2022-12-21 19:16:27,0.987
364,"nuevo, podcast, maravilloso, duro, supervivientes",Alegría,Alta,1961,Bajo,2022-12-22 15:18:42,0.978
365,"pasado, días, gracias, argentina, dejar",Alegría,Alta,39504,Alto,2022-12-23 02:40:12,0.981
366,"jodido, esland, matarse, nominados, entre",Tristeza,Media,9005,Medio,2022-12-23 14:13:50,0.732
367,"mejores, entrevistas, prensa, hecho, interesante",Alegría,Alta,1157,Bajo,2022-12-23 15:22:00,0.851
368,"estéis, solos, acompañados, celebréis, navidad",Alegría,Alta,8087,Medio,2022-12-24 20:54:13,0.88
369,"mensaje, auténtico",Neutral,Media,16802,Alto,2022-12-24 21:23:03,0.716
370,"semana, viene, habrá, podcast, pequeñas",Alegría,Alta,5408,Medio,2022-12-27 14:08:17,0.905
371,"llego, sacar, colonia, olvidona, hago",Alegría,Alta,41418,Alto,2022-12-29 18:27:18,0.993
372,"único, mensaje, tiene, importar",Neutral,Alta,15141,Alto,2022-12-31 19:33:14,0.971
373,"peor, mejor",Neutral,Alta,1286,Bajo,2023-01-01 14:42:34,0.844
374,"estáis, resaca, mintáis, nada, mejor",Alegría,Alta,2359,Bajo,2023-01-01 16:18:32,0.968
375,"nominado, definitivamente, vamos, méxico, pasa",Neutral,Media,15863,Alto,2023-01-02 20:41:53,0.627
376,"conocía, caso, elena, huelva, hasta",Alegría,Alta,7997,Medio,2023-01-03 14:30:51,0.962
377,"encantaría, saber, cuál, juego, porcentaje",Neutral,Alta,20013,Alto,2023-01-04 13:46:55,0.981
378,"comunidad, hispana, antes, anunciarse, esland",Neutral,Alta,9753,Medio,2023-01-04 22:09:07,0.949
379,"gente, intentado, youtube, está, dando",Neutral,Alta,5462,Medio,2023-01-10 17:05:00,0.987
380,"nuevo, podcast, regresa, tertulia, wild",Alegría,Alta,1408,Bajo,2023-01-11 14:09:22,0.945
381,"desde, tupac, notorious, había, visto",Sorpresa,Media,89216,Viral,2023-01-12 00:25:01,0.686
382,"shakira, volviendo, casa, después, grabar",Neutral,Alta,59787,Viral,2023-01-12 02:37:07,0.953
383,"histéricos, reacción, piqué, anunciar, fichaje",Neutral,Alta,49826,Alto,2023-01-12 14:44:23,0.947
384,"verano, querían, echar, frenkie, jong",Neutral,Baja,15119,Alto,2023-01-15 20:42:54,0.386
385,"xavineta, espera, nadie",Alegría,Media,20419,Alto,2023-01-15 21:03:18,0.52
386,"nuevo, podcast, papa, giorgio, antonio",Alegría,Alta,1054,Bajo,2023-01-17 15:21:26,0.994
387,"febrero, nace, dogfight, wild, tournament",Alegría,Alta,13790,Alto,2023-01-17 18:31:54,0.762
388,"nuevo, podcast, juan, carlos, unzué",Neutral,Alta,1794,Bajo,2023-01-19 15:48:50,0.992
389,"habéis, portado, pocos, minutos, nuevo",Neutral,Alta,7569,Medio,2023-01-22 14:54:22,0.929
390,"nuevo, vídeo, terrible, caso, becowitz",Neutral,Media,2651,Bajo,2023-01-22 15:09:11,0.657
391,"nuevo, podcast, tertulia, cada, semana",Neutral,Alta,1424,Bajo,2023-01-24 15:54:55,0.97
392,"nuevo, podcast, habíais, pedido, durante",Alegría,Alta,7494,Medio,2023-01-26 14:56:03,0.995
393,"mañana, operan, papi, mandad, besos",Alegría,Alta,9472,Medio,2023-01-26 22:15:10,0.967
394,"deciros, simplemente, papa, giorgio, dios",Alegría,Alta,98952,Viral,2023-01-27 21:10:24,0.996
395,"tamayo, unos, premios, internacionales, igual",Neutral,Alta,51040,Viral,2023-01-29 18:51:54,0.968
396,"ganado, follacamiones, pueden, cerrar, esland",Neutral,Alta,48746,Alto,2023-01-29 20:51:13,0.991
397,"tamayo, follacamiones, segundoesland",Neutral,Alta,50582,Alto,2023-01-29 22:19:42,0.99
398,"nuevo, podcast, cada, semana, tertulia",Alegría,Alta,1041,Bajo,2023-01-31 15:39:03,0.982
399,"nuevo, podcast, carles, porta, periodista",Alegría,Alta,1608,Bajo,2023-02-02 15:28:33,0.977
400,"influencers, streamers, youtubers, otrosvividores, sigo",Neutral,Alta,13274,Alto,2023-02-09 14:38:04,0.982
401,"nuevo, podcast, sandra, estok, víctima",Alegría,Alta,1374,Bajo,2023-02-09 15:29:28,0.992
402,"rápido, quién, gana",Neutral,Alta,780,Bajo,2023-02-12 05:11:57,0.962
403,"unos, minutos, nuevo, vídeo, rincón",Neutral,Alta,6467,Medio,2023-02-12 16:19:44,0.913
404,"nuevo, vídeo, caso, yandere, real",Neutral,Alta,1576,Bajo,2023-02-12 16:48:34,0.981
405,"xokas, separando, violencia, poder, fuerza",Neutral,Alta,93108,Viral,2023-02-16 21:35:31,0.985
406,"gracias, mensajes, bonitos, ayer, hicimos",Alegría,Alta,81018,Viral,2023-02-18 15:20:34,0.995
407,"nuevo, podcast, cada, semana, tertulia",Neutral,Alta,1296,Bajo,2023-02-21 15:43:44,0.934
408,"menos, ganaremos, liga",Neutral,Alta,24204,Alto,2023-02-23 21:55:45,0.936
409,"subiendo, combates, dogfight, wild, tournament",Alegría,Alta,1627,Bajo,2023-02-24 16:01:11,0.986
410,amouranth,Alegría,Media,29232,Alto,2023-02-27 22:15:34,0.581
411,"luzu, fernanfloo, combate, amor, abrazos",Neutral,Media,17330,Alto,2023-02-27 23:58:16,0.596
412,"nuevo, podcast, tertulia, cada, semana",Alegría,Alta,941,Bajo,2023-02-28 15:57:56,0.97
413,"nuevo, podcast, jony, viviendoenlacalle, visita",Alegría,Alta,1753,Bajo,2023-03-02 15:26:26,0.988
414,"jones, madre, parió, mejor, historia",Alegría,Baja,3109,Medio,2023-03-05 05:52:18,0.436
415,"nuevo, podcast, tertulia, cada, semana",Neutral,Alta,780,Bajo,2023-03-07 15:57:41,0.979
416,"nuevo, podcast, ilia, topuria, estrella",Neutral,Alta,1439,Bajo,2023-03-09 15:38:03,0.993
417,"jagger, pasado, tantas, veces, vida",Neutral,Alta,28103,Alto,2023-03-10 16:55:22,0.986
418,"conocernos, tuvimos, nuestros, menos, final",Tristeza,Alta,113773,Viral,2023-03-11 05:53:59,0.931
419,"nuevo, podcast, cada, semana, tertulia",Alegría,Media,876,Bajo,2023-03-14 14:55:48,0.549
420,"nuevo, podcast, impresionante, serio, neurocirujanos",Alegría,Alta,2208,Bajo,2023-03-16 15:28:05,0.985
421,"nuevo, vídeo, padre, pues, ración",Alegría,Alta,1522,Bajo,2023-03-19 15:15:46,0.986
422,"estoy, invitado, madrid, desde, palco",Alegría,Alta,22517,Alto,2023-03-19 15:37:02,0.967
423,"stegen, alemaaaaannnnn, estaba, pensando, jong",Alegría,Alta,12844,Alto,2023-03-19 21:17:50,0.793
424,"nuevo, podcast, episodio, wild, project",Alegría,Alta,13206,Alto,2023-03-21 15:31:54,0.996
425,"llegado, casa, padre, saltado, lágrimas",Alegría,Alta,11841,Alto,2023-03-21 17:23:44,0.98
426,"segunda, parte, podcast, masi, illojuan",Alegría,Alta,2057,Bajo,2023-03-23 16:22:25,0.985
427,"empezado, serie, resident, evil, remake",Alegría,Alta,4966,Medio,2023-03-23 16:26:32,0.842
428,"broma, acaban, anunciar, juego, switch",Neutral,Alta,25959,Alto,2023-03-23 22:31:11,0.959
429,"nuevo, vídeo, seguimos, resident, evil",Alegría,Alta,1021,Bajo,2023-03-24 16:00:06,0.868
430,"nooooooooooo, muerto, chabelo, significa, apocalipsis",Tristeza,Alta,47962,Alto,2023-03-25 16:51:51,0.916
431,"contento, exitazo, kings, league, dedicamos",Alegría,Alta,24529,Alto,2023-03-26 21:58:06,0.997
432,"directo, canal, vuelvo, streamer, ratito",Neutral,Alta,1229,Bajo,2023-03-29 13:23:15,0.984
433,"nuevo, podcast, tertulia, wild, project",Alegría,Alta,838,Bajo,2023-04-04 14:28:06,0.964
434,"nuevo, podcast, visita, bojan, krkic",Neutral,Alta,1779,Bajo,2023-04-06 14:55:31,0.885
435,"genios, tertulia",Alegría,Alta,5907,Medio,2023-04-11 17:38:04,0.751
436,"venta, libro, papi, cuentos, papa",Alegría,Alta,7347,Medio,2023-04-13 14:33:31,0.994
437,"mala, época",Neutral,Alta,15504,Alto,2023-04-18 20:40:28,0.974
438,"nuevo, podcast, calderon, luchado, contra",Alegría,Alta,1146,Bajo,2023-04-20 14:56:08,0.932
439,"puta, vergüenza, quiten, verificado, gente",Enfado,Alta,47864,Alto,2023-04-21 04:42:40,0.933
440,"guapo, nuevo, verificado, gracias, elon",Alegría,Alta,28569,Alto,2023-04-22 13:36:56,0.809
441,"pagar, nada, ponen, verificación, nuevo",Enfado,Media,19502,Alto,2023-04-23 02:37:56,0.664
442,"estoy, triste, cabreado, organización, firma",Enfado,Alta,20773,Alto,2023-04-23 20:49:00,0.894
443,"nuevo, podcast, tertulia, cada, semana",Alegría,Alta,749,Bajo,2023-04-25 14:57:22,0.948
444,"hermosuras, mayo, padre, vamos, hacer",Alegría,Alta,4388,Medio,2023-04-25 15:54:59,0.977
445,"gracias, habéis, mandado, mensajes, bonitos",Alegría,Alta,6718,Medio,2023-04-25 20:13:49,0.997
446,"hermosos, tertulia, publicará, mañana, viernes",Alegría,Alta,3112,Medio,2023-05-09 14:50:57,0.988
447,"youtube, está, pensando, bloquear, adblock",Neutral,Alta,11374,Alto,2023-05-11 12:43:06,0.933
448,"mundo, felicitar, titán, cumple, años",Alegría,Alta,14513,Alto,2023-05-11 15:51:13,0.993
449,"nuevo, podcast, amarna, miller, visita",Alegría,Alta,1600,Bajo,2023-05-12 15:05:00,0.996
450,"padre, madre, espanyol, divorcian",Neutral,Media,15851,Alto,2023-05-14 19:12:13,0.674
451,"visca, rarísimo, viniendo, depresión, hemos",Alegría,Alta,12041,Alto,2023-05-14 20:57:11,0.996
452,"grande, madrid",Alegría,Alta,13063,Alto,2023-05-17 20:25:15,0.991
453,"enfadéis, madrid, culés, llevamos, años",Enfado,Alta,13350,Alto,2023-05-17 22:17:26,0.92
454,"podcast, estepario, siberiano, lleva, desde",Neutral,Alta,1938,Bajo,2023-05-18 11:47:23,0.985
455,"ojalá, xokas, tamayo, conocieran, sentaran",Enfado,Media,21325,Alto,2023-05-21 16:04:13,0.526
456,"veáis, pasa, vídeos, últimos, meses",Neutral,Alta,14412,Alto,2023-05-23 14:15:08,0.901
457,"nuevo, podcast, mientras, decido, hago",Alegría,Alta,3725,Medio,2023-05-23 14:35:17,0.813
458,"nuevo, podcast, sigo, monetizar, solo",Alegría,Alta,3564,Medio,2023-05-25 14:59:09,0.977
459,"visto, imágenes, similares, incluso, reaccionado",Tristeza,Media,10344,Alto,2023-05-28 18:05:43,0.594
460,"nuevo, podcast, tertulia, cada, semana",Neutral,Alta,1483,Bajo,2023-05-30 14:34:25,0.985
461,"nuevo, podcast, mariah, oliver, fundadora",Alegría,Alta,1249,Bajo,2023-06-01 14:36:36,0.991
462,"messi, viene, temporada, tiño, rubio",Neutral,Alta,27681,Alto,2023-06-05 12:48:20,0.849
463,"saldrá, barato, pulpos, verano",Neutral,Alta,6211,Medio,2023-06-06 14:40:39,0.869
464,"nuevo, podcast, tertulia, cada, semana",Neutral,Baja,684,Bajo,2023-06-06 15:05:01,0.493
465,"especial, cine, wild, project, crack",Alegría,Alta,2361,Bajo,2023-06-08 14:41:55,0.994
466,"guardiola, mejor, entrenador, mundo, busquéis",Neutral,Media,6474,Medio,2023-06-11 05:01:18,0.717
467,"tenía, dudas, starfield, tiene, pinta",Neutral,Media,2480,Bajo,2023-06-11 21:46:33,0.588
468,"tras, starfield, baldur, gate, muestra",Alegría,Media,1415,Bajo,2023-06-12 12:16:42,0.743
469,"después, desastre, firma, jordi, papagiorgioreal",Neutral,Media,1286,Bajo,2023-06-13 14:34:53,0.57
470,"nuevo, podcast, javi, santaolalla, jasantaolalla",Alegría,Alta,858,Bajo,2023-06-13 15:05:54,0.996
471,"nuevo, podcast, especial, filosofía, ciencia",Neutral,Alta,1016,Bajo,2023-06-15 15:16:31,0.908
472,"nuevo, podcast, nacho, siempre, tendremos",Alegría,Alta,767,Bajo,2023-06-20 14:57:34,0.971
473,"acaba, salir, nuevo, final, fantasy",Alegría,Alta,3954,Medio,2023-06-22 19:25:48,0.887
474,"sorpresa, nuevo, vídeo, rincón, giorgio",Alegría,Media,2848,Medio,2023-06-25 13:57:50,0.726
475,"fuera, ibai, pego, tiro, problemas",Neutral,Alta,54190,Viral,2023-06-26 21:58:37,0.851
476,"sábado, julio, especial, verano, directo",Neutral,Alta,2131,Bajo,2023-07-06 19:44:47,0.967
477,"hola, buenas, tardes",Neutral,Media,12216,Alto,2023-07-07 15:27:01,0.699
478,"pasará, especial, verano, wild, project",Neutral,Alta,2924,Medio,2023-07-08 13:59:03,0.996
479,"empezamos, locura, https, youtube, live",Neutral,Alta,1725,Bajo,2023-07-08 15:03:17,0.87
480,"cortado, conexión, directo, motivos, desconocidos",Neutral,Alta,1430,Bajo,2023-07-08 23:28:32,0.987
481,"mark, zuckerberg, parece, robot, robots",Neutral,Alta,8322,Medio,2023-07-13 01:14:49,0.94
482,"brad, pitt, años, tomó, serio",Neutral,Alta,17335,Alto,2023-07-16 13:51:08,0.863
483,"alcaraz, está, poniendo, cara, nadal",Sorpresa,Alta,8373,Medio,2023-07-16 17:55:30,0.803
484,"cariño, momento, comprar, comida",Neutral,Alta,13174,Alto,2023-07-18 13:06:40,0.982
485,"ciencia, ficción, star, wars",Neutral,Alta,7839,Medio,2023-07-24 13:25:25,0.936
486,"nueva, twitter, parece, diseñada, primo",Neutral,Alta,7480,Medio,2023-07-26 12:54:40,0.976
487,"david, grusch, alto, cargo, inteligencia",Sorpresa,Baja,44293,Alto,2023-07-27 14:59:41,0.306
488,pierdo,Neutral,Alta,6001,Medio,2023-07-28 14:34:08,0.861
489,"conozcan, entienden, lore",Neutral,Alta,9255,Medio,2023-07-28 17:19:05,0.978
490,real,Neutral,Baja,62994,Viral,2023-08-09 14:43:00,0.496
491,"primera, táctica, enseña, bordalás, equipos",Neutral,Alta,16253,Alto,2023-08-13 20:34:20,0.952
492,"momentos, verano, padre, fiesta, espuma",Alegría,Alta,24477,Alto,2023-08-16 18:27:07,0.98
493,"estoy, poco, desconectado, verano, quiero",Tristeza,Alta,7011,Medio,2023-08-18 21:09:51,0.959
494,"sigue, show, padre, mexico",Neutral,Alta,5967,Medio,2023-08-27 15:57:30,0.981
495,"padre, siempre, gana",Alegría,Alta,1434,Bajo,2023-08-27 16:06:26,0.934
496,"panas, celebrando, cumple, gracias, vuestros",Alegría,Alta,13240,Alto,2023-08-28 16:31:02,0.997
497,"starfield, juego, bethesda, school, bueno",Neutral,Media,4305,Medio,2023-09-01 13:57:29,0.542
498,"cada, hora, juego, starfield, gusta",Alegría,Alta,5913,Medio,2023-09-06 16:47:27,0.966
499,"strickland, acaba, ganando, puntos, adesanya",Neutral,Alta,1764,Bajo,2023-09-10 04:27:38,0.841
500,"puta, locura, strickland",Sorpresa,Alta,1682,Bajo,2023-09-10 04:35:20,0.932
501,"mañana, regresa, wild, project, tarde",Alegría,Alta,3841,Medio,2023-09-11 15:00:51,0.93
502,"regresa, wild, project, https, youtu",Alegría,Alta,2193,Bajo,2023-09-12 14:05:02,0.992
503,"supuestos, aliens, parecen, extra, black",Sorpresa,Media,55876,Viral,2023-09-13 19:34:12,0.629
504,"nuevo, podcast, gerardromero, viene, contarme",Neutral,Alta,1798,Bajo,2023-09-14 15:56:30,0.93
505,"sorpresa, nuevo, vídeo, rincón, giorgio",Neutral,Alta,3669,Medio,2023-09-17 15:48:45,0.934
506,"nuevo, podcast, tertulia, querida, querido",Alegría,Alta,885,Bajo,2023-09-19 14:56:14,0.992
507,"amores, dado, ataque, fuerte, vértigo",Neutral,Media,13826,Alto,2023-09-22 17:40:13,0.575
508,"cara, felicidad, poder, jugar, cualquier",Alegría,Alta,3147,Medio,2023-09-27 14:57:29,0.99
509,"buenas, noticias, estoy, recuperado, suficiente",Alegría,Alta,3272,Medio,2023-10-03 14:07:08,0.995
510,"nuevo, podcast, crack, aníbal, bueno",Alegría,Alta,661,Bajo,2023-10-05 14:55:08,0.993
511,"venga, españa, ilia, topuria, quiero",Neutral,Media,6764,Medio,2023-10-09 21:41:56,0.681
512,"nuevo, podcast, david, jiménez, regresa",Neutral,Media,1675,Bajo,2023-10-12 14:37:34,0.538
